Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
akino-mentality2,AKINO Mentality II Oversized Tee,<p>AKINO Mentality II Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Oversized drop-shoulder fit</li></ul>,AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,akino-mentality2-1,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786552049/akino/ready/akino-mentality2-1.png,1,AKINO Mentality II Oversized Tee,active
akino-mentality2,,,,,,,,Dark Ash - 180 GSM,akino-mentality2-2,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-mentality2,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552052/akino/ready/akino-mentality2-2.png,2,AKINO Mentality II Oversized Tee,
akino-mentality2,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552053/akino/ready/akino-mentality2-3.png,3,AKINO Mentality II Oversized Tee,
akino-mentatly,AKINO Mentality Oversized Tee,<p>AKINO Mentality Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Oversized drop-shoulder fit</li></ul>,AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,akino-mentatly-1,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786552055/akino/ready/akino-mentatly-1.png,1,AKINO Mentality Oversized Tee,active
akino-mentatly,,,,,,,,Dark Ash - 180 GSM,akino-mentatly-2,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-mentatly,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552056/akino/ready/akino-mentatly-2.png,2,AKINO Mentality Oversized Tee,
akino-mentatly,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552057/akino/ready/akino-mentatly-3.png,3,AKINO Mentality Oversized Tee,
akino-mentelity,AKINO Mentality Classic Oversized Tee,<p>AKINO Mentality Classic Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Oversized drop-shoulder fit</li></ul>,AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,akino-mentelity-1,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786552059/akino/ready/akino-mentelity-1.png,1,AKINO Mentality Classic Oversized Tee,active
akino-mentelity,,,,,,,,Dark Ash - 180 GSM,akino-mentelity-2,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-mentelity,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552061/akino/ready/akino-mentelity-2.png,2,AKINO Mentality Classic Oversized Tee,
akino-mentelity,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552062/akino/ready/akino-mentelity-3.png,3,AKINO Mentality Classic Oversized Tee,
